Simple	English	semantic-similarity
Operation Moonshot is a programme by the UK government to allow many people in England to be tested for COVID-19 as a way to allow large gatherings of people to happen there while maintaining control over the virus. According to the British Medical Journal , the programme aims to perform 10 million tests per day by 2021. People are worried about it because, as a leaked government document says, it is thought it may cost £100bn, which is about three-quarters of what the NHS England costs every year. Statisticians say because any test can have inaccuracies, mass testing at this scale might cause hundreds of thousands of false positives a day, resulting in very large numbers of people being told they are infected when they are not infected. 	Operation Moonshot is a UK government programme to introduce same day mass testing for COVID-19 in England as a way of enabling large gatherings of people to take place in that country while maintaining control over the virus. According to the British Medical Journal , the programme aims to deliver 10 million tests per day by 2021. The programme has raised concerns because of its expected cost—£100bn according to a leaked government document, which is about three-quarters of the total annual cost of NHS England . Statisticians have moreover warned that given the inaccuracies inherent in any test, mass testing at this scale is liable to cause hundreds of thousands of false positives a day, resulting in very large numbers of people being told that they are infected when they are not. 	4.590595
Operation Moonshot is a programme by the UK government to allow many people in England to be tested for COVID-19 as a way to allow large gatherings of people to happen there while maintaining control over the virus. According to the British Medical Journal , the programme aims to perform 10 million tests per day by 2021. People are worried about it because, as a leaked government document says, it is thought it may cost £100bn, which is about three-quarters of what the NHS England costs every year. Statisticians say because any test can have inaccuracies, mass testing at this scale might cause hundreds of thousands of false positives a day, resulting in very large numbers of people being told they are infected when they are not infected. 	Operation Moonshot is a UK government programme to introduce same day mass testing for COVID-19 in England as a way of enabling large gatherings of people to take place in that country while maintaining control over the virus. According to the British Medical Journal , the programme aims to deliver 10 million tests per day by 2021. The programme has raised concerns because of its expected cost—£100bn according to a leaked government document, which is about three-quarters of the total annual cost of NHS England . Statisticians have moreover warned that given the inaccuracies inherent in any test, mass testing at this scale is liable to cause hundreds of thousands of false positives a day, resulting in very large numbers of people being told that they are infected when they are not. 	4.590595
The COVID-19 Advisory Board was announced in November 2020 by then President-elect of the United States Joe Biden as part of his presidential transition . It is co-chaired by physicians David A. Kessler , Marcella Nunez-Smith , and Vivek Murthy and comprises 13 health experts. The goal of the advisory board is to create ideas and rules on how to tackle the COVID-19 pandemic in the United States during Biden's transition period. The board was dissolved when Biden was inaugurated on January 20, 2021 and was replaced with the White House COVID-19 Response Team . University of Chicago 	The COVID-19 Advisory Board was announced in November 2020 by then- President-elect of the United States Joe Biden as part of his presidential transition . It was co-chaired by physicians David A. Kessler , Marcella Nunez-Smith , and Vivek Murthy and comprises 13 health experts. The board was then succeeded by the White House COVID-19 Response Team upon Biden's presidency. Before naming any White House staff or cabinet appointments, Biden announced that he will appoint a COVID-19 task force, co-chaired by former Surgeon General Vivek Murthy , former Food and Drug Administration Commissioner David Kessler and Yale University epidemiologist Professor Marcella Nunez-Smith .   In November 2020, he announced the names of 13 health experts to serve on the COVID-19 Advisory Board.  Biden pledged a more and larger federal government response to the pandemic than Donald Trump , akin to President Franklin D. Roosevelt 's New Deal during the Great Depression .  This would include increased testing for SARS-CoV-2 , a steady supply of personal protective equipment , distributing a vaccine and securing money from Congress for schools and hospitals under the aegis of a national "supply chain commander" who would coordinate the logistics of manufacturing and distributing protective gear and test kits. This would be distributed by a "Pandemic Testing Board", also similar to Roosevelt's War Production Board during World War II .  Biden also pledged to invoke the Defense Production Act more aggressively than Trump in order to build up supplies, as well as the mobilization of up to 100,000 Americans for a "public health jobs corps" of contact tracers to help track and prevent outbreaks. 	4.573257
The COVID-19 Advisory Board was announced in November 2020 by then President-elect of the United States Joe Biden as part of his presidential transition . It is co-chaired by physicians David A. Kessler , Marcella Nunez-Smith , and Vivek Murthy and comprises 13 health experts. The goal of the advisory board is to create ideas and rules on how to tackle the COVID-19 pandemic in the United States during Biden's transition period. The board was dissolved when Biden was inaugurated on January 20, 2021 and was replaced with the White House COVID-19 Response Team . University of Chicago 	The COVID-19 Advisory Board was announced in November 2020 by then- President-elect of the United States Joe Biden as part of his presidential transition . It was co-chaired by physicians David A. Kessler , Marcella Nunez-Smith , and Vivek Murthy and comprises 13 health experts. The board was then succeeded by the White House COVID-19 Response Team upon Biden's presidency. Before naming any White House staff or cabinet appointments, Biden announced that he will appoint a COVID-19 task force, co-chaired by former Surgeon General Vivek Murthy , former Food and Drug Administration Commissioner David Kessler and Yale University epidemiologist Professor Marcella Nunez-Smith .   In November 2020, he announced the names of 13 health experts to serve on the COVID-19 Advisory Board.  Biden pledged a more and larger federal government response to the pandemic than Donald Trump , akin to President Franklin D. Roosevelt 's New Deal during the Great Depression .  This would include increased testing for SARS-CoV-2 , a steady supply of personal protective equipment , distributing a vaccine and securing money from Congress for schools and hospitals under the aegis of a national "supply chain commander" who would coordinate the logistics of manufacturing and distributing protective gear and test kits. This would be distributed by a "Pandemic Testing Board", also similar to Roosevelt's War Production Board during World War II .  Biden also pledged to invoke the Defense Production Act more aggressively than Trump in order to build up supplies, as well as the mobilization of up to 100,000 Americans for a "public health jobs corps" of contact tracers to help track and prevent outbreaks. 	4.573257
Plumpy'Nut is a peanut -based paste wrapped in plastic, used to treat severe malnutrition . It's manufactured by Nutriset , a French company.   The paste removes the need for hospitalization , and the 92-gram  packages of it can be eaten at home and allows larger numbers of people to be treated.	Plumpy'Nut is a peanut -based paste in a plastic wrapper for treatment of severe acute malnutrition manufactured by Nutriset , a French company.   Removing the need for hospitalization, the 92-gram  packets of this paste can be administered at home and allow larger numbers to be treated.  Plumpy'Nut may be referred to in scientific literature as a Ready-to-Use Therapeutic Food  alongside other RUTFs such as BP100.  Nutriset has been criticized by Médecins Sans Frontières for enforcing its Plumpy'nut patents. 	4.5510435
Bone marrow failure happens when people who produce a low amount of red blood cells , white blood cells or platelets . Red blood cells transport oxygen to be spread throughout the body’s tissue. White blood cells fight off infections that enter the body. Bone marrow also has platelets , which trigger clotting , and thus help stop the blood flow when a wound occurs. 	Bone marrow failure occurs in individuals who produce an insufficient amount of red blood cells , white blood cells or platelets . Red blood cells transport oxygen to be distributed throughout the body’s tissue. White blood cells fight off infections that enter the body. Bone marrow also contains platelets , which trigger clotting , and thus help stop the blood flow when a wound occurs.  Bone marrow failure is associated with three types of diseases, Fanconi anemia , dyskeratosis congenita , and aplastic anemia . Fanconi anemia is an inherited blood disorder due to abnormal breakages in DNA genes. It is linked to hyperpigmentation, which is the darkening of an area of skin or nails caused by increased melanin. According to Histopathology, “However, in about 30% of FA patients no physical abnormalities are found”.  Dyskeratosis congenita often affects multiple parts of the body. Individuals with this disorder usually show changes in skin pigmentations, unusual fingernail growth, and mucosa leukoplakia; the inner part of the mouth is encased with white patches that may never resolve.  Aplastic anemia happens when bone marrow doesn’t produce enough new blood cells throughout the body. Aplastic anemia is an acquired autoimmune disease, which occurs when the immune system mistakenly attacks and destroys healthy body tissue.  Bone marrow failure in both children and adults can be either inherited or acquired. Inherited bone marrow failure is often the cause in young children, while older children and adults may acquire the disease later in life.  A maturation defect in genes is a common cause of inherited bone marrow failure.  The most common cause of acquired bone marrow failure is aplastic anemia.  Working with chemicals such as benzene could be a factor in causing the illness. Other factors include radiation or chemotherapy treatments, and immune system problems.	4.526969
Acute respiratory distress syndrome  is a type of respiratory failure caused by a massive widespread inflammation in the lungs . Symptoms include shortness of breath , rapid breathing , and bluish skin color. For those who survive, a short life span is common as a result. Causes may include sepsis , pancreatitis , trauma , pneumonia , and aspiration . 	Acute respiratory distress syndrome  is a type of respiratory failure characterized by rapid onset of widespread inflammation in the lungs .  Symptoms include shortness of breath , rapid breathing , and bluish skin coloration .  For those who survive, a decreased quality of life is common.  Causes may include sepsis , pancreatitis , trauma , pneumonia , and aspiration .  The underlying mechanism involves diffuse injury to cells which form the barrier of the microscopic air sacs of the lungs , surfactant dysfunction, activation of the immune system , and dysfunction of the body's regulation of blood clotting .  In effect, ARDS impairs the lungs' ability to exchange oxygen and carbon dioxide .  Adult diagnosis is based on a PaO 2 /FiO 2 ratio  of less than 300 mm Hg despite a positive end-expiratory pressure  of more than 5 cm H 2 O.  Cardiogenic pulmonary edema , as the cause, must be excluded.  The primary treatment involves mechanical ventilation together with treatments directed at the underlying cause.  Ventilation strategies include using low volumes and low pressures.  If oxygenation remains insufficient, lung recruitment maneuvers and neuromuscular blockers may be used.  If these are insufficient, extracorporeal membrane oxygenation  may be an option.  The syndrome is associated with a death rate between 35 and 50%. 	4.5248165
Dysautonomia or autonomic dysfunction is a condition in which the autonomic nervous system  does not work properly. This may affect the heart , bladder , intestines , sweat glands , pupils , and blood vessels. Dysautonomia has many causes and may not be neuropathic . 	Dysautonomia or autonomic dysfunction is a condition in which the autonomic nervous system  does not work properly. This may affect the functioning of the heart , bladder , intestines , sweat glands , pupils , and blood vessels. Dysautonomia has many causes, not all of which may be classified as neuropathic .  A number of conditions can feature dysautonomia, such as Parkinson's disease , multiple system atrophy , and dementia with Lewy bodies ,  Ehlers-Danlos syndromes ,  autoimmune autonomic ganglionopathy and autonomic neuropathy ,  HIV/AIDS ,  autonomic failure , and postural orthostatic tachycardia syndrome . The diagnosis is achieved through functional testing of the ANS, focusing on the affected organ system . Investigations may be performed to identify underlying disease processes that may have led to the development of symptoms or autonomic neuropathy. Symptomatic treatment is available for many symptoms associated with dysautonomia, and some disease processes can be directly treated.  The symptoms of dysautonomia, which are numerous and vary widely for each individual, are due to inefficient or unbalanced efferent signals sent via both systems.  The primary symptoms in individuals with dysautonomia include	4.51169
Cancer of unknown primary origin  is a term used to describe a cancer that is said to be at the metastatic stage at the time of diagnosis, but a primary tumor cannot be identified. A diagnosis of CUP requires a clinical picture  with metastatic disease and one or more biopsy results inconsistent with a primary tumor.  CUP is found in about 3 to 5% of all people diagnosed with invasive cancer,  and carries a poor prognosis in most  of those circumstances.  The other 15 to 20% of patients, however, have a relatively long survival with appropriate treatment. 	Cancer of unknown primary origin  is a cancer that is determined to be at the metastatic stage at the time of diagnosis, but a primary tumor cannot be identified. A diagnosis of CUP requires a clinical picture consistent with metastatic disease and one or more biopsy results inconsistent with a tumor cancer CUP is found in about 3 to 5% of all people diagnosed with invasive cancer,  and carries a poor prognosis in most  of those circumstances.  The other 15 to 20% of patients, however, have a relatively long survival with appropriate treatment.  Most cancers typically present as a single primary tumor .  Over the course of time—particularly if the primary tumor is left untreated—smaller "satellite" tumors will appear at other places in the body, a phenomenon known as metastasis .  Less commonly, a metastatic tumor is found first; but in most such cases, the primary tumor can then be located via examination and testing.  Rarely , the primary tumor cannot be found because it is too small, or because it has regressed due to immune system activity or other factors. In such situations a diagnosis of cancer of unknown primary origin  is made.	4.484686
Blood doping is a way of increasing the number of red blood cells in the bloodstream. This is done to improve athletic performance. Because blood cells carry oxygen from the lungs to the muscles , a having more red cells in the blood can improve an athlete’s aerobic capacity  and endurance .  Many methods of blood doping are illegal, particularly in professional sport. There are a number of different methods. Frozen blood taken from the individual previously can be used for a later transplant; packed red cells from a compatible donor may be used, and blood substitutes may be used. The growth area in illegal blood doping of athletes is blood substitutes.	Blood doping is the practice of boosting the number of red blood cells in the bloodstream in order to enhance athletic performance. Because such blood cells carry oxygen from the lungs to the muscles , a higher concentration in the blood can improve an athlete's aerobic capacity  and endurance .  Blood doping can be achieved by making the body produce more red blood cells itself using drugs, giving blood transfusions either from another person or back to the same individual, or by using blood substitutes. Many methods of blood doping are illegal, particularly in professional sports where it is considered to give an artificial advantage to the competitor. Anti-doping agencies use tests to try to identify individuals who have been blood doping using a number of methods, typically by analysing blood samples from the competitors. Blood doping is defined as the use of illicit products , darbepoetin-alfa, hypoxia-inducible factor  stabilizers) and methods  in order to enhance the O 2 transport of the body to the muscles. 	4.3589773
The Diseases Database is a database on a free website that gives information about the relationships between medical conditions, symptoms , and medications . The database is run by Medical Object Oriented Software Enterprises Ltd, a small company based in London , UK . The site's stated aim is "education, background reading and general interest" with an intended audience "physicians, other clinical healthcare workers and students of these professions". The editor of the site is stated as Malcolm H Duncan, a UK qualified medical doctor.  The Diseases Database is based around a collection of concepts related to human medicine. These concepts include diseases, drugs, symptoms, physical signs and abnormal laboratory results. These are referred to as 'items'. There are around 8,000 items within the database. 	The Diseases Database is a free website that provides information about the relationships between medical conditions, symptoms , and medications . The database is run by Medical Object Oriented Software Enterprises Ltd, a company based in London.  The site's stated aim is "education, background reading and general interest" with an intended audience "physicians, other clinical healthcare workers and students of these professions". The editor of the site is stated as Malcolm H Duncan, a UK qualified medical doctor.  The Diseases Database is based on a collection of about 8,500 concepts, called "items", related to human medicine including diseases, drugs, symptoms, physical signs and abnormal laboratory results. 	4.279196
Reaction Agostini is the name of a simplified examination for the presence of glucose in human urine . The method consists of preparing a solution of sodium chloride and potassium oxide , adding the urine to be investigated. If there is glucose present, the solution becomes red. 	Reaction Agostini is the name of a simplified examination for the presence of glucose in human urine. The method consists of preparing a solution of sodium chloride and potassium oxide , adding the urine to be investigated. If there is glucose present, the solution becomes red.  This medical diagnostic article is a stub . You can help Wikipedia by expanding it .	4.2730346
Flattening the curve is a public health strategy to slow down the spread of the COVID-19 virus during the COVID-19 pandemic . The curve being flattened is the epidemic curve , a representation of the number of infected people needing health care over time. During an epidemic, a health care system can break down when the number of people infected passes the health care system's ability to take care of them. Flattening the curve means slowing the spread of the epidemic so that the peak number of people requiring care at a time is reduced, and the health care system does not pass its capacity. Flattening the curve relies on techniques such as quarantine , stay at home orders , and social distancing .	Flattening the curve is a public health strategy to slow down the spread of the SARS-CoV-2 virus during the COVID-19 pandemic . The curve being flattened is the epidemic curve , a visual representation of the number of infected people needing health care over time. During an epidemic, a health care system can break down when the number of people infected exceeds the capability of the health care system's ability to take care of them. Flattening the curve means slowing the spread of the epidemic so that the peak number of people requiring care at a time is reduced, and the health care system does not exceed its capacity. Flattening the curve relies on mitigation techniques such as hand washing , use of face masks and social distancing . A complementary measure is to increase health care capacity, to "raise the line".  As described in an article in The Nation , "preventing a health care system from being overwhelmed requires a society to do two things: 'flatten the curve'—that is, slow the rate of infection so there aren't too many cases that need hospitalization at one time—and 'raise the line'—that is, boost the hospital system's capacity to treat large numbers of patients."  As of April 2020  , in the case of the COVID-19 pandemic, two key measures are to increase the numbers of available ICU beds and ventilators , which are in systemic shortage .  	4.257033
Flattening the curve is a public health strategy to slow down the spread of the COVID-19 virus during the COVID-19 pandemic . The curve being flattened is the epidemic curve , a representation of the number of infected people needing health care over time. During an epidemic, a health care system can break down when the number of people infected passes the health care system's ability to take care of them. Flattening the curve means slowing the spread of the epidemic so that the peak number of people requiring care at a time is reduced, and the health care system does not pass its capacity. Flattening the curve relies on techniques such as quarantine , stay at home orders , and social distancing .	Flattening the curve is a public health strategy to slow down the spread of the SARS-CoV-2 virus during the COVID-19 pandemic . The curve being flattened is the epidemic curve , a visual representation of the number of infected people needing health care over time. During an epidemic, a health care system can break down when the number of people infected exceeds the capability of the health care system's ability to take care of them. Flattening the curve means slowing the spread of the epidemic so that the peak number of people requiring care at a time is reduced, and the health care system does not exceed its capacity. Flattening the curve relies on mitigation techniques such as hand washing , use of face masks and social distancing . A complementary measure is to increase health care capacity, to "raise the line".  As described in an article in The Nation , "preventing a health care system from being overwhelmed requires a society to do two things: 'flatten the curve'—that is, slow the rate of infection so there aren't too many cases that need hospitalization at one time—and 'raise the line'—that is, boost the hospital system's capacity to treat large numbers of patients."  As of April 2020  , in the case of the COVID-19 pandemic, two key measures are to increase the numbers of available ICU beds and ventilators , which are in systemic shortage .  	4.257033
